movieId,actor,director
1,Tom Hanks|Tim Allen|Don Rickles,John Lasseter
2,Robin Williams|Kirsten Dunst|Bonnie Hunt,Joe Johnston
3,Walter Matthau|Jack Lemmon|Ann-Margret,Howard Deutch
4,,
5,Steve Martin|Diane Keaton|Martin Short,Charles Shyer
6,Al Pacino|Robert De Niro|Val Kilmer,Michael Mann
7,Harrison Ford|Julia Ormond|Greg Kinnear,Sydney Pollack
8,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,Peter Hewitt
9,,
10,,
11,Michael Douglas|Annette Bening|Martin Sheen,Rob Reiner
12,Leslie Nielsen|Mel Brooks|Peter MacNicol,Mel Brooks
13,Kevin Bacon|Bob Hoskins|Bridget Fonda,Simon Wells
14,,
15,Geena Davis|Matthew Modine|Frank Langella,Renny Harlin
17,Emma Thompson|Kate Winslet|James Fleet,Ang Lee
18,Tim Roth|Antonio Banderas|Sammi Davis,Allison Anders|Alexandre Rockwell|Robert Rodriguez
19,Jim Carrey|Ian McNeice|Simon Callow,Steve Oedekerk
20,Wesley Snipes|Woody Harrelson|Jennifer Lopez,Joseph Ruben
21,,
22,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Jon Amiel
23,,
24,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,Victor Salva
25,,
26,,
27,Christina Ricci|Demi Moore|Rosie O&apos;Donnell,Lesli Linka Glatter
28,Amanda Root|Ciarán Hinds|Susan Fleetwood,Roger Michell
29,,
30,Gong Li|Baotian Li|Xiaoxiao Wang,Yimou Zhang
31,,
32,Bruce Willis|Madeleine Stowe|Brad Pitt,Terry Gilliam
33,Craig Sheffer|Elizabeth McGovern|Tom Hulce,Jean-Jacques Annaud
34,James Cromwell|Magda Szubanski|Christine Cavanaugh,Chris Noonan
35,Emma Thompson|Jonathan Pryce|Steven Waddington,Christopher Hampton
36,,
37,Peter Reznick|John McDonough|Avi Hoffman,Stephen Low
38,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,Andy Tennant
39,Alicia Silverstone|Stacey Dash|Brittany Murphy,Amy Heckerling
40,Richard Harris|James Earl Jones|Vusi Kunene,Darrell Roodt
41,Ian McKellen|Annette Bening|Christopher Bowen,Richard Loncraine
42,Larenz Tate|Keith David|Chris Tucker,Albert Hughes|Allen Hughes
43,Robert Downey Jr.|Sam Neill|David Thewlis,Michael Hoffman
44,Christopher Lambert|Robin Shou|Linden Ashby,Paul W.S. Anderson
45,Nicole Kidman|Matt Dillon|Joaquin Phoenix,Gus Van Sant
46,Winona Ryder|Ellen Burstyn|Anne Bancroft,Jocelyn Moorhouse
47,Morgan Freeman|Brad Pitt|Kevin Spacey,David Fincher
48,Mel Gibson|Linda Hunt|Christian Bale,Mike Gabriel|Eric Goldberg
49,Pascale Bussières|Rachael Crawford|Henry Czerny,Patricia Rozema
50,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,Bryan Singer
