actorId,actorName
0,Hubert Koundé
1,Til Schweiger
2,Christian Bale
3,Jon Voight
4,Jon Polito
5,Linda Hamilton
6,Gary Farmer
7,Regina Torné
8,O-Lan Jones
9,Emmanuelle Béart
10,Tina Bursill
11,Jack Thompson
12,Jean-Claude Van Damme
13,Predrag 'Miki' Manojlovic
14,Helen Buday
15,Richard Harris
16,Carlos López
17,Peter Sallis
18,Matt Salinger
19,Timothy Busfield
20,Bill Murray
21,Costas Mandylor
22,Campbell Scott
23,Paul Rhys
24,Rena Owen
25,Tina Majorino
26,J. Trevor Edmond
27,Sean Patrick Flanery
28,Art Clokey
29,Maggie Smith
30,Ryan O'Neal
31,Alok Chakravarty
32,Basil Rathbone
33,Edward Arnold
34,Stephen Lang
35,Drake Bell
36,Chris Tucker
37,Art Malik
38,Maria Riva
39,Mary Kay Bergman
40,Claudette Colbert
41,Sophia Loren
42,Chris Cooper
43,Elias Koteas
44,Fisher Stevens
45,Robert McLane
46,Ray Milland
47,Steven Seagal
48,Rustam Branaman
49,Bruce Greenwood
50,Penelope Ann Miller
51,Joe Morton
52,Dal McKennon
53,Mark Christopher Lawrence
54,Antonio Banderas
55,Elizabeth Taylor
56,Austin O'Brien
57,Julie Walters
58,Hal Scardino
59,Pat Morita
60,Kim Novak
61,Lisa Eichhorn
62,Craig Mack
63,Steve Buscemi
64,Richard Gere
65,Gottfried John
66,Alison Crosbie
67,Luc Thuillier
68,Peter MacNicol
69,Danny Kaye
70,Robert Duvall
71,Clark Johnson
72,Franco Scaldati
73,Brendan Corbalis
74,John Lynch
75,Martin Sheen
76,Helen Hayes
77,Benjamin Hendrickson
78,Matthew Broderick
79,Kris McQuade
80,Julia Stemberger
81,Jami Gertz
82,Rosie O'Donnell
83,Jennifer Lopez
84,Dan Zhao
85,Dennis Franz
86,Christopher Olscamp
87,Matt Craven
88,Don Johnson
89,Sean Penn
90,Melissa Leo
91,Tobias Arnold
92,Wilson Dunster
93,Jerzy Binczycki
94,Tom Hanks
95,Luisito Martí
96,Wendy Crewson
97,Andrew McCarthy
98,Lawrence David
99,Mia Kirshner
100,Jonathan Fuller
101,Tyrone Power
102,David Strathairn
103,Bruce McCulloch
104,Claudiu Bleont
105,Lai Wang
106,Piro Milkani
107,Nico
108,Tatsuya Fuji
109,Elizabeth Ashley
110,Jonathan Pryce
111,Rose McGowan
112,John Savage
113,Ann-Margret
114,Peter Coyote
115,Ad van Kempen
116,Diane Lane
117,Claudio Brook
118,Jing Ning
119,John Marley
120,Gabriel Byrne
121,Larenz Tate
122,Elizabeth Hurley
123,Jon Tenney
124,Juliette Mayniel
125,Marie Laforêt
126,Stacey Dash
127,Phoebe Brand
128,Michael O'Keefe
129,Lloyd Bridges
130,William Holden
131,Adam Sandler
132,Donna Reed
133,Libby Langdon
134,Jason James Richter
135,Tony Goldwyn
136,Rob Schneider
137,Linus Roache
138,Tilda Swinton
139,Sheena Easton
140,Renée Zellweger
141,Sandra Bernhard
142,Aoi Nakajima
143,Ming-Na Wen
144,The Lady Bunny
145,Marcello Mastroianni
146,Michael T. Weiss
147,Alberta Watson
148,Marianne Hagan
149,Carl Esmond
150,Kay Thompson
151,Ralph Fiennes
152,Jacob Tierney
153,Ray Liotta
154,Matt Frewer
155,Laurence Fishburne
156,Gang Wu
157,Akio Ôtsuka
158,Andrea Eckert
159,Viggo Mortensen
160,Mel Gibson
161,Brian Benben
162,Raymond Massey
163,Ruocheng Ying
164,Ralph Bellamy
165,Sandra Bullock
166,Julie Bowen
167,Kevin Spacey
168,Richard Greene
169,Joe Cortese
170,Teiji Takahashi
171,Gary Oldman
172,Helen Hunt
173,Tim Roth
174,Luisina Brando
175,George Kennedy
176,George Clooney
177,Karan Ashley
178,Jack Nicholson
179,John Sham
180,Morgan Fairchild
181,Laura Dern
182,Angie Everhart
183,Christopher Lloyd
184,Mary-Kate Olsen
185,Cindy Crawford
186,Jan Decleir
187,Elizabeth Peña
188,Anne Heche
189,Walter Pidgeon
190,Christopher Eccleston
191,Molly Ringwald
192,Sam Neill
193,Kathy Bates
194,Tupac Shakur
195,Anna Falchi
196,Eric Lloyd
197,Nancy Travis
198,Simon Callow
199,Champa
200,Billy Zane
201,Iain Robertson
202,Charles Crumb
203,Wolfgang Liebeneiner
204,Billy Blanks
205,Chris Grigg
206,Gabriel Olds
207,Robert Downey Jr.
208,Lars Hanson
209,Rusty Cundieff
210,Jingwu Ma
211,Walter Slezak
212,Jack Lemmon
213,Eleanor Bron
214,Jack Benny
215,Angeline Ball
216,Don McKellar
217,Dennis Quaid
218,Ice Cube
219,Kevin McDonald
220,Miranda Richardson
221,Jonathan Taylor Thomas
222,William Atherton
223,Leslie Mann
224,RaéVen Kelly
225,Jennifer MacDonald
226,Barbara Stanwyck
227,Kelly Rowan
228,Antje de Boeck
229,John Malkovich
230,David Caruso
231,Audie England
232,Michael Wincott
233,Fatemeh Azrah
234,Joe Torry
235,Geneviève Bujold
236,Heather Hogan
237,Kiefer Sutherland
238,Suzy Amis
239,Jessica Tandy
240,Cynthia Stevenson
241,Donald Sutherland
242,Brittany Ashton Holmes
243,Carol Kane
244,Lumi Cavazos
245,Michael Beach
246,Shaojun Tian
247,Guinevere Turner
248,Jesse Corti
249,Allen Payne
250,Emilio Estevez
251,Bridgette Wilson-Sampras
252,James Fleet
253,Sam Shepard
254,James Earl Jones
255,Mohsen Kafili
256,Carole Lombard
257,Helen Slater
258,Annie Corley
259,Van Johnson
260,Olga Tudorache
261,Brian Hooks
262,Joe Pantoliano
263,Leslie Nielsen
264,Bill Pullman
265,Jerry Adler
266,Cuauhtemoc Rivas
267,Kirstie Alley
268,Julie Warner
269,Gila Almagor
270,Kris Kristofferson
271,Brigitte Lin
272,Charles Rocket
273,Paul Lukas
274,Thora Hird
275,Colm Feore
276,Phil Harris
277,Peter Gallagher
278,Josiane Balasko
279,James Cromwell
280,Magaye Niang
281,Antoine Basler
282,Rosie Perez
283,Jesse Bradford
284,Mary Stuart Masterson
285,Vivica A. Fox
286,Stuart Wilson
287,Liam Cunningham
288,Jessie Royce Landis
289,Akira Takayama
290,Xander Berkeley
291,Tia Carrere
292,Harry Belafonte
293,Samir Guesmi
294,Angela Bassett
295,Maria Grazia Cucinotta
296,Ethan Hawke
297,Juana Barrios
298,Sigourney Weaver
299,Johan Widerberg
300,Massimo Troisi
301,Sylvester Stallone
302,Anne Baxter
303,Elena Sofia Ricci
304,Julie Harris
305,Ben Kingsley
306,Maureen O'Sullivan
307,Mathias Mégard
308,John Travolta
309,Jason Gedrick
310,Rochelle Davis
311,Edward Norton
312,Gene Hackman
313,Annette Bening
314,Tyrin Turner
315,Robin Wright
316,George Sanders
317,Sondos Belhassen
318,Charles Vanel
319,Wallace Wood
320,Chester Morris
321,Michel Bouquet
322,Deborah Collard
323,Jayne Brook
324,Joseph Mazzello
325,Blake Boyd
326,Angel Aviles
327,Jeremy Irons
328,Leslie Caron
329,Michael Ironside
330,Eddy Mitchell
331,Julianne Phillips
332,Thomas Gibson
333,Tony Leung Chiu-wai
334,Maggie Castle
335,Catherine O'Hara
336,Bob Gunton
337,Sammi Davis
338,Trace Beaulieu
339,Teri Hatcher
340,James Garner
341,Danny Cunningham
342,Clint Eastwood
343,Terence Stamp
344,Keir Dullea
345,George Cole
346,Craig Chester
347,Jared Harris
348,Brian Kerwin
349,John Polson
350,Michelle Pfeiffer
351,David Riva
352,Al Franken
353,Mustapha Adouani
354,Gigio Morra
355,Tim Bergmann
356,Malcolm McDowell
357,Robert Crumb
358,Ann O'Brien
359,Julie Delpy
360,Scott Bakula
361,Richard Dreyfuss
362,Lawrence Gilliard Jr.
363,Elizabeth Berkley
364,Sadie Frost
365,Susan Sarandon
366,Christopher McDonald
367,Tom Noonan
368,Raúl Carbonell
369,Yûki Kudô
370,Ben Becker
371,Maila Nurmi
372,Jonny Lee Miller
373,Alison Elliott
374,John Turturro
375,Avi Hoffman
376,Tina Aumont
377,Dylan Walsh
378,Joss Ackland
379,Gina Gershon
380,Timothy Hutton
381,Edward Herrmann
382,Robert Ryan
383,Lukas Haas
384,Caroline Barclay
385,Emil Chau
386,Richard Briers
387,Edward James Olmos
388,Joe Don Baker
389,Juan Muñiz
390,Scarlett Johansson
391,Kevin Bacon
392,Anne Bancroft
393,Jane March
394,Melody Kay
395,Damon Wayans
396,Takeshi Kaneshiro
397,Veronica Ferres
398,Isabella Rossellini
399,Josh Charles
400,Natalie Portman
401,Hugh O'Conor
402,Brian O'Halloran
403,Lori Petty
404,Abbas Khavaninzadeh
405,Wesley Snipes
406,Debra Winger
407,Pete Postlethwaite
408,Diedrich Bader
409,Susan Fleetwood
410,Theresa Randle
411,Leslie Cheung
412,Anne Vernon
413,Cameron Bancroft
414,Lily Tomlin
415,Shannen Doherty
416,Ned Beatty
417,Bug Hall
418,Martin Neufeld
