directorId,directorName
0,Bill Forsyth
1,Marcus DeLeon
2,Nick Castle
3,Stephen Sommers
4,Terry Gilliam
5,John Singleton
6,Joe Johnston
7,Joseph Strick
8,Christopher Ashley
9,Ernest R. Dickerson
10,John Carpenter
11,Jerry Ciccoritti
12,Marc Rocco
13,Terence Davies
14,Atom Egoyan
15,Christopher Monger
16,Sönke Wortmann
17,Yimou Zhang
18,Michael A. Nickles
19,Glenn Gordon Caron
20,María Luisa Bemberg
21,Alan Parker
22,James Keach
23,Rocky Morton
24,Peter Horton
25,Keisuke Kinoshita
26,Nikita Mikhalkov
27,James Lapine
28,Arkadiy Tigay
29,Paul Warner
30,Bertrand Tavernier
31,Nicole Holofcener
32,F. Gary Gray
33,Irwin Winkler
34,Josiane Balasko
35,Henry Jaglom
36,George Hickenlooper
37,Jonathan Kaplan
38,Peter Medak
39,Ross Kagan Marks
40,Peter Farrelly
41,Joel Schumacher
42,Mitchell Leisen
43,Ángel Muñiz
44,Angela Pope
45,Oliver Stone
46,Richard Gordon
47,Richard Rush
48,Mort Ransen
49,Ben Stiller
50,Yale Strom
51,Charles Burnett
52,Steven Soderbergh
53,Eli Cohen
54,Michael Lindsay-Hogg
55,Barry Caillier
56,Danny Cannon
57,Michael Caton-Jones
58,Ivan Reitman
59,Simon Wincer
60,Anna Campion
61,Brian Gibson
62,Bruce Beresford
63,Sidney Lumet
64,Peter Weck
65,Chris Menges
66,Mike Gabriel
67,Clint Eastwood
68,Vincente Minnelli
69,Howard Franklin
70,Doug Ellin
71,Harvey Wang
72,Carroll Ballard
73,Richard Linklater
74,Rob Reiner
75,John Halas
76,Anthony Hopkins
77,Douglas Keeve
78,Rémy Duchemin
79,John Lasseter
80,John G. Avildsen
81,Timothy Quay
82,Dennis Dugan
83,Michael Moore
84,Scott McGehee
85,Stuart Orme
86,Anthony Minghella
87,Richard Attenborough
88,Carma Hinton
89,Richard Loncraine
90,Robert Lee King
91,Gerald Potterton
92,Robert Zemeckis
93,Roger Avary
94,Jaime Hellman
95,Walter Lang
96,John Landis
97,Andrew Davis
98,Larry Leker
99,Lisa Krueger
100,Kar-Wai Wong
101,Gabriel Barylli
102,Peter Weir
103,Luc Besson
104,Fred Williamson
105,Claude Chabrol
106,Gene Kelly
107,Joseph Ruben
108,Laurent Heynemann
109,Victor Schertzinger
110,Mika Kaurismäki
111,Billy Wilder
112,Dave Borthwick
113,Keith Gordon
114,Vincent Robert
115,Brett Leonard
116,Lilly Wachowski
117,Thaddeus O'Sullivan
118,Daniel Petrie
119,Herbert Ross
120,Damian Harris
121,Sam Weisman
122,Irene von Alberti
123,Sandip Ray
124,Benjamin Ross
125,Edwin L. Marin
126,Patricia Rozema
127,Elia Kazan
128,Allen Hughes
129,Brad Silberling
130,Jennifer Lynch
131,Roger Vadim
132,Luis Llosa
133,Jonathan Lynn
134,Emir Kusturica
135,Roman Polanski
136,Preston A. Whitmore II
137,Geoff Murphy
138,Arthur Joffé
139,Chris Noonan
140,Wolfgang Petersen
141,Alfonso Arau
142,Brian Levant
143,Joseph L. Mankiewicz
144,Yves Angelo
145,Robert M. Young
146,Neil Jordan
147,Matty Rich
148,Paul Weiland
149,Rob Cohen
150,Steven Spielberg
151,Sean Penn
152,Catherine Cyran
153,Michael Hoffman
154,Peter Shaner
155,Harvey Miller
156,Beeban Kidron
157,Fred Dekker
158,Woody Allen
159,Robert Longo
160,Jeremiah S. Chechik
161,Ho Yim
162,Wesley Strick
163,David Frankel
164,Tom DeCerchio
165,Jerzy Kaszubowski
166,Rowdy Herrington
167,Terry Zwigoff
168,Danny DeVito
169,Amy Holden Jones
170,Farhad Mann
171,Victor Fleming
172,Hal Salwen
173,Krzysztof Kieslowski
174,Dwight H. Little
175,Lina Wertmüller
176,Bryan Spicer
177,Howard Deutch
178,Michael Goldenberg
179,Nick Gomez
180,Arne Glimcher
181,Roland Emmerich
182,Michael Gottlieb
183,Amy Heckerling
184,Robert Altman
185,Brian Gilbert
186,John Waters
187,D.A. Pennebaker
188,Friðrik Þór Friðriksson
189,Åke Sandgren
190,Éric Rohmer
191,Lucas Platt
192,Harold Becker
193,Franco Zeffirelli
194,Nick Hamm
195,Arthur Hiller
196,Jim McKay
197,Jim Mallon
198,Gary Fleder
199,Nagisa Ôshima
200,Larry Cohen
201,Ted Demme
202,Annabel Jankel
203,Carlo Carlei
204,Tim Hunter
205,Peter Jackson
206,Stephan Elliott
207,Stacy Cochran
208,George Huang
209,Christopher Hampton
210,Michele Soavi
211,Alex Graves
212,Jon Blair
213,Blake Edwards
214,Sydney Pollack
215,Frank Oz
216,Eva Sereny
217,T. Hee
218,Bernardo Bertolucci
219,Richard Stanley
220,Andrew Fleming
221,Karim Dridi
222,Todd Verow
223,Ridley Scott
224,Nicole Garcia
225,Trevor Nunn
226,Stanley Tucci
227,Theo van Gogh
228,Doug McHenry
229,Georges Franju
230,Jocelyn Moorhouse
231,Brett Thompson
232,Steven Baigelman
233,Archie Mayo
234,Harold Ramis
235,Rebecca Miller
236,David Siegel
237,Charles Matthau
238,James Cameron
239,Max Ophüls
240,Suri Krishnamma
241,Agnieszka Holland
242,Victor Sjöström
243,George Mihalka
244,John Sayles
245,Albert Pyun
246,Chuck Russell
247,John L'Ecuyer
248,Barry Sonnenfeld
249,Geoff Burton
250,Peter Hyams
251,Martin Enlen
252,Kathryn Bigelow
253,Charles Walters
254,Freida Lee Mock
255,Bryan Singer
256,Lesli Linka Glatter
257,Jessie Nelson
258,David Mickey Evans
259,Christian Duguay
260,Paul Michael Glaser
261,Jim Sheridan
262,Kevin Yagher
263,Chris Newby
264,Walter Hill
265,Steve James
266,Tim Sullivan
267,Gregg Araki
268,Michael Curtiz
269,Howard Hawks
270,John Cassavetes
271,Gray Hofmeyr
272,Diane Keaton
273,Mark Sandrich
274,Gregory La Cava
275,Jeffrey Friedman
276,Jane Campion
277,Stanley Donen
278,Brian De Palma
279,René Bonnière
280,Hal Hartley
281,Ildikó Enyedi
282,Paul Sabella
283,Bill Bennett
284,Manuel Gómez Pereira
285,Ken Kwapis
286,Danny Boyle
287,George Miller
288,Allison Anders
289,Mike Newell
290,Eric Meza
291,Jeremy Leven
292,Richard Pearce
293,Ron Shelton
294,Mathieu Kassovitz
295,Art Clokey
296,Gus Van Sant
297,Jim Jarmusch
298,Paul Williams
299,Jean-Paul Rappeneau
300,Izidore K. Musallam
301,Alan Rudolph
302,Brett Piper
303,Nick Park
304,Luis Buñuel
305,James Bruce
306,Tom DiCillo
307,Frank Capra
